AOUXB    = 0094
AOUCB    = 0090
ADSP1    = 0072
ARCTF    = 0066
AFLG1    = 0067
BNOQ     = 0080
BFAIL    = 0040
BTMNO    = 0080
BFRS     = 0040
BFQU     = 0020
BWAIT    = 0008
BOUT     = 0004
BTMLW    = 0002
BSTND    = 0004
BNSWP    = 0001
UFWD     = 0004
UBCK     = 0008
UQFL     = 0010
USFL     = 0011
UYFL     = 0012
UAFL     = 0013
UTFL     = 0014
UEFL     = 0015
UUFL     = 0017
UNDS     = 0084
USRC     = 0025
USWC     = 0026
UASCB    = 0028
UACT     = 0050
UACN     = 0054
UCFL     = 0056
UDMN     = 0024
ULEN     = 0090
UGOO     = 0080
UGOI     = 0040
UGOB     = 0020
UOFF     = 0008
UOUT     = 0004
UNSW     = 0080
UINV     = 0010
UNSWI    = 0008
ULWT     = 0080
UMWT     = 0001
URSWP    = 0020
UTSWP    = 0010
UTSWC    = 0008
URDY     = 0080
URSM     = 0040
XRSW     = 000C
