2026-09-15 13:27:59.675203 IP 192.168.200.2 > 192.168.200.1: ICMP echo request, id 1, seq 1, length 64
2026-09-15 13:27:59.676068 IP 192.168.200.1 > 192.168.200.2: ICMP echo reply, id 1, seq 1, length 64
2026-09-15 13:28:00.680366 IP 192.168.200.2 > 192.168.200.1: ICMP echo request, id 1, seq 2, length 64
2026-09-15 13:28:00.681257 IP 192.168.200.1 > 192.168.200.2: ICMP echo reply, id 1, seq 2, length 64
2026-09-15 13:28:17.467917 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:17.467964 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:28:17.488689 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:17.488702 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:28:32.467380 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:32.467413 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:28:32.488189 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:32.488198 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:28:47.467614 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:47.467633 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:28:47.488052 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:28:47.488068 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:02.467807 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:02.467826 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:02.488745 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:02.488755 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:17.467813 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:17.467832 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:17.488300 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:17.488322 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:32.467492 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:32.467512 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:32.488035 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:32.488042 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:47.473781 IP 192.168.200.1.7804 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:47.473807 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556
2026-09-15 13:29:47.488124 IP 192.168.200.1.7803 > 192.168.200.2.9999: UDP, length 1024
2026-09-15 13:29:47.488136 IP 192.168.200.2 > 192.168.200.1: ICMP 192.168.200.2 udp port 9999 unreachable, length 556

